generation,leftchild,rightchild,abstime,betainit,betashift
0,t2,t10,0,0.5,0
10,t2,t10,0,0.5,0
20,t2,t10,0,0.5,0
30,t2,t10,0,0.5,0
40,t2,t10,0,0.5,0
50,t2,t10,0,0.5,0
60,t2,t10,0,0.5,0
70,t2,t10,0,0.5,-0.0867128
80,t2,t10,0,0.5,-0.0867128
90,t2,t10,0,0.5,-0.0867128
100,t2,t10,0,0.5,-0.0867128
110,t2,t10,0,0.5,0.485212
120,t2,t10,0,0.5,0.485212
130,t2,t10,0,0.936106,0.485212
140,t2,t10,0,0.936106,0.485212
150,t2,t10,0,0.936106,0.485212
160,t2,t10,0,0.936106,-0.131303
170,t2,t10,0,0.936106,-0.131303
170,t8,NA,3.11274,2.0979,-0.370457
180,t2,t10,0,0.936106,-0.131303
180,t8,NA,3.09721,2.0979,-0.449773
190,t2,t10,0,0.936106,-0.131303
190,t8,NA,3.19108,2.0979,-0.449773
200,t2,t10,0,0.936106,-0.131303
200,t8,NA,3.19108,2.0979,-0.449773
200,t1,NA,2.82295,0.189699,0.0654912
210,t2,t10,0,0.936106,-0.131303
210,t8,NA,3.19108,2.0979,-0.449773
210,t1,NA,2.82295,0.189699,0.0654912
220,t2,t10,0,0.936106,-0.131303
220,t8,NA,3.21833,2.0979,-0.449773
220,t1,NA,2.84647,0.189699,0.0654912
230,t2,t10,0,0.936106,-0.131303
230,t8,NA,3.21833,2.0979,-0.449773
230,t1,NA,2.84647,0.189699,0.0654912
240,t2,t10,0,0.876579,-0.131303
240,t8,NA,3.21833,2.0979,-0.449773
240,t1,NA,2.84647,0.123774,0.0654912
250,t2,t10,0,0.876579,-0.131303
250,t8,NA,3.21833,2.0979,-0.449773
250,t1,NA,2.84647,0.188307,0.0654912
260,t2,t10,0,0.876579,-0.131303
260,t8,NA,3.21833,2.0979,-0.449773
260,t1,NA,2.84647,0.306968,0.0654912
270,t2,t10,0,0.876579,-0.131303
270,t8,NA,3.21833,2.0979,-0.449773
270,t1,NA,2.84647,0.306968,0.0654912
280,t2,t10,0,0.876579,-0.131303
280,t8,NA,3.21833,2.0979,-0.449773
280,t1,NA,2.84647,0.306968,0.0654912
290,t2,t10,0,0.876579,-0.131303
290,t8,NA,3.21833,2.0979,-0.449773
290,t1,NA,2.84647,0.306968,0.0654912
300,t2,t10,0,0.876579,-0.131303
300,t8,NA,3.21833,2.0979,-0.449773
300,t1,NA,2.84647,0.306968,0.0654912
310,t2,t10,0,0.876579,-0.131303
310,t1,NA,2.84647,0.306968,0.0654912
320,t2,t10,0,0.876579,-0.131303
320,t1,NA,2.84647,0.306968,0.0654912
330,t2,t10,0,0.876579,-0.131303
330,t3,NA,3.26202,0.306968,0.0654912
340,t2,t10,0,1.35736,-0.131303
340,t3,NA,3.29233,0.306968,0.0654912
350,t2,t10,0,1.35736,-0.131303
350,t3,NA,3.2842,0.306968,0.0654912
360,t2,t10,0,1.35736,-0.131303
360,t3,NA,3.2842,0.306968,0.0654912
370,t2,t10,0,1.35736,-0.20008
370,t3,NA,3.2842,0.306968,0.0654912
380,t2,t10,0,1.35736,-0.286192
380,t3,NA,3.2842,0.306968,0.0654912
390,t2,t10,0,1.35736,-0.286192
390,t3,NA,3.2842,0.662404,0.0654912
400,t2,t10,0,2.13076,-0.286192
400,t3,NA,3.34501,0.662404,0.0654912
410,t2,t10,0,1.49628,-0.286192
410,t3,NA,3.27688,0.662404,0.0654912
410,t5,NA,3.15111,3.02893,-0.0982898
420,t2,t10,0,1.0183,-0.286192
