generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-3.23244,-373.941,1,0
1000,1,-7.5514,-142.505,1.04308,0.310689
2000,1,-7.92921,-135.195,0.839883,0.3045
3000,2,-10.0262,-146.362,1.38133,0.313
4000,2,-15.5604,-140.173,4.17141,0.296
5000,4,-20.0634,-143.195,1.73173,0.311
6000,2,-10.4508,-127.429,0.733981,0.303
7000,1,-11.1127,-133.084,1.86771,0.2765
8000,7,-24.3368,-131.84,1.98621,0.2745
9000,2,-12.8755,-140.177,2.37765,0.296
