generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-3.70327,-1155.35,1,0
1000,2,-12.9934,-188.17,2.07513,0.320679
2000,2,-12.1072,-191.464,2.24903,0.2915
3000,6,-30.5036,-195.995,3.00993,0.317
4000,3,-18.3806,-200.291,2.29303,0.337
5000,2,-12.3204,-185.046,1.11463,0.33
6000,5,-28.3445,-179.3,4.71439,0.325
7000,3,-15.3286,-174.406,2.16116,0.293
8000,3,-16.7502,-171.907,3.41075,0.2775
9000,4,-20.4981,-168.283,1.3989,0.269
