generation,leftchild,rightchild,abstime,betainit,betashift
0,t4,t94,0,0.5,0
10,t4,t94,0,0.5,0
20,t4,t94,0,0.5,0
30,t4,t94,0,0.5,0
30,t54,t10,4.79441,2.32915,0.328441
40,t4,t94,0,0.5,0
40,t54,t10,4.79441,2.32915,0.328441
50,t4,t94,0,0.5,0
50,t54,t10,4.79441,2.32915,0.328441
50,t222,t136,5.07334,26.4237,0.342195
60,t4,t94,0,0.5,0
60,t54,t10,4.79441,2.32915,0.328441
60,t222,t136,5.07334,26.4237,0.342195
70,t4,t94,0,0.5,0
70,t54,t10,4.79441,2.32915,0.328441
70,t222,t136,5.07334,26.4237,0.342195
80,t4,t94,0,0.5,0
80,t54,t10,4.79441,2.32915,-0.036089
80,t222,t136,5.07334,26.4237,0.342195
90,t4,t94,0,0.5,0
90,t54,t10,4.79441,2.32915,-0.036089
90,t222,t136,5.06427,26.4237,0.342195
100,t4,t94,0,0.5,0
100,t54,t10,4.79441,2.32915,-0.036089
100,t222,t136,5.06427,26.4237,0.342195
110,t4,t94,0,0.72842,0
110,t54,t10,4.79441,1.95008,-0.036089
110,t222,t136,5.0054,26.4237,0.342195
120,t4,t94,0,0.72842,0
120,t54,t10,4.79441,1.95008,-0.036089
120,t222,t136,5.0054,26.4237,0.342195
130,t4,t94,0,0.72842,0
130,t54,t10,4.79441,2.7236,-0.036089
130,t222,t136,5.0054,26.4237,0.342195
140,t4,t94,0,0.72842,0
140,t54,t10,4.79441,2.7236,-0.036089
140,t222,t136,5.0054,26.4237,0.342195
150,t4,t94,0,0.72842,0
150,t54,t10,4.79441,2.7236,-0.036089
150,t222,t136,4.96569,26.4237,0.342195
160,t4,t94,0,0.72842,0
160,t54,t10,4.79441,2.7236,-0.036089
160,t222,t136,4.96569,26.4237,0.342195
170,t4,t94,0,0.72842,0
170,t54,t10,4.79441,2.7236,-0.036089
170,t222,t136,4.96569,26.4237,0.342195
180,t4,t94,0,0.72842,0
180,t222,t136,4.96569,26.4237,0.342195
190,t4,t94,0,0.72842,0
190,t222,t136,4.96569,26.4237,0.342195
200,t4,t94,0,0.72842,0
200,t222,t136,4.96569,23.3085,0.342195
210,t4,t94,0,0.72842,0
210,t222,t136,5.07047,23.3085,0.342195
220,t4,t94,0,0.72842,0
220,t222,t136,5.07047,23.3085,0.342195
230,t4,t94,0,0.72842,0
230,t222,t136,4.97955,23.3085,0.342195
240,t4,t94,0,0.72842,0
240,t222,t136,4.97955,23.3085,-0.348158
250,t4,t94,0,0.72842,0.823748
250,t222,t136,4.95822,23.3085,-0.348158
260,t4,t94,0,0.72842,0.823748
260,t222,t136,4.95822,23.3085,-0.0587158
270,t4,t94,0,0.72842,0.823748
270,t222,t136,4.95822,35.6769,-0.0587158
280,t4,t94,0,0.72842,0.823748
280,t222,t136,4.95822,35.6769,-0.0587158
290,t4,t94,0,0.72842,0.823748
290,t222,t136,4.95822,35.6769,-0.0587158
300,t4,t94,0,0.72842,0.823748
300,t222,t136,4.95822,35.6769,-0.0587158
310,t4,t94,0,0.72842,0.823748
310,t222,t136,4.95822,35.6769,-0.0587158
320,t4,t94,0,0.72842,0.823748
320,t222,t136,4.95822,35.6769,-0.0587158
330,t4,t94,0,0.72842,0.823748
330,t222,t136,4.95822,35.6769,-0.0587158
340,t4,t94,0,0.72842,0.823748
340,t222,t136,4.95822,35.6769,-0.0587158
350,t4,t94,0,0.72842,0.823748
350,t222,t136,4.95822,35.6769,-0.0587158
360,t4,t94,0,0.72842,0.823748
360,t222,t136,4.95822,34.5143,-0.0587158
370,t4,t94,0,0.72842,0.823748
370,t222,t136,4.95822,35.417,-0.0587158
380,t4,t94,0,0.72842,0.823748
380,t222,t136,4.85447,35.417,0.125269
390,t4,t94,0,0.72842,0.823748
390,t222,t136,4.85447,35.417,0.125269
400,t4,t94,0,0.72842,0.823748
400,t222,t136,4.85447,35.417,0.125269
410,t4,t94,0,0.72842,0.823748
410,t222,t136,4.85447,35.417,0.125269
420,t4,t94,0,0.72842,0.823748
420,t222,t136,4.90951,35.417,0.125269
430,t4,t94,0,0.72842,0.823748
430,t222,t136,4.90951,33.4971,0.125269
440,t4,t94,0,0.72842,0.823748
440,t222,t136,4.90951,33.4971,0.125269
450,t4,t94,0,0.72842,0.823748
450,t222,t136,4.90951,33.4971,0.125269
