generation,leftchild,rightchild,abstime,betainit,betashift
0,t4,t2,0,0.5,0
10,t4,t2,0,0.5,0
20,t4,t2,0,0.5,0
30,t4,t2,0,0.5,0
40,t4,t2,0,0.5,0.145002
50,t4,t2,0,0.411457,0.145002
60,t4,t2,0,0.411457,0.0931392
70,t4,t2,0,0.411457,0.0931392
80,t4,t2,0,0.411457,0.0931392
90,t4,t2,0,0.411457,0.0931392
100,t4,t2,0,0.411457,0.0931392
110,t4,t2,0,0.411457,0.0931392
120,t4,t2,0,0.411457,0.0931392
130,t4,t2,0,0.411457,0.0931392
140,t4,t2,0,0.411457,0.0931392
150,t4,t2,0,0.397886,0.0931392
160,t4,t2,0,0.397886,0.0931392
170,t4,t2,0,0.397886,0.0931392
180,t4,t2,0,0.397886,0.0931392
190,t4,t2,0,0.397886,0.244818
200,t4,t2,0,0.397886,0.244818
210,t4,t2,0,0.397886,-0.0593788
220,t4,t2,0,0.397886,-0.0593788
230,t4,t2,0,0.454044,-0.0593788
240,t4,t2,0,0.454044,-0.0593788
250,t4,t2,0,0.454044,-0.0593788
260,t4,t2,0,0.454044,-0.0593788
270,t4,t2,0,0.454673,-0.0593788
270,t2,t8,1.27474,3.29721,0.631596
280,t4,t2,0,0.454673,-0.0593788
280,t2,t8,1.33069,3.29721,0.631596
290,t4,t2,0,0.454673,-0.0593788
290,t2,t8,1.40574,3.29721,0.631596
300,t4,t2,0,0.509538,-0.0593788
300,t2,t8,1.37611,3.29721,0.631596
310,t4,t2,0,0.3586,-0.0593788
310,t2,t8,1.37611,3.29721,0.631596
320,t4,t2,0,0.3586,-0.0593788
320,t2,t8,1.37611,3.29721,0.631596
330,t4,t2,0,0.3586,-0.0593788
330,t2,t8,1.37611,4.57741,0.895216
340,t4,t2,0,0.3586,-0.0593788
340,t2,t8,1.37611,4.57741,0.895216
350,t4,t2,0,0.3586,-0.0593788
350,t2,t8,1.42362,4.57741,0.895216
360,t4,t2,0,0.3586,-0.0593788
360,t2,t8,1.40769,4.57741,0.895216
370,t4,t2,0,0.3586,-0.0593788
370,t2,t8,1.40769,4.57741,0.895216
380,t4,t2,0,0.3586,-0.0593788
380,t2,t8,1.40769,4.57741,0.895216
390,t4,t2,0,0.3586,-0.0593788
390,t2,t8,1.35979,4.57741,0.895216
400,t4,t2,0,0.3586,-0.0593788
400,t2,t8,1.35979,4.57741,0.895216
410,t4,t2,0,0.3586,-0.0593788
410,t2,t8,1.31882,4.57741,0.895216
420,t4,t2,0,0.571244,-0.0593788
420,t2,t8,1.31882,4.57741,0.895216
430,t4,t2,0,0.571244,-0.0593788
430,t2,t8,1.31882,4.57741,0.895216
440,t4,t2,0,0.571244,-0.0593788
440,t2,t8,1.31882,4.57741,0.895216
450,t4,t2,0,0.571244,-0.0593788
450,t2,t8,1.31882,4.57741,0.895216
460,t4,t2,0,0.571244,-0.0593788
460,t10,NA,2.31032,6.58822,0.465256
460,t2,t8,1.31882,4.57741,0.895216
470,t4,t2,0,0.571244,-0.0593788
470,t10,NA,2.31032,6.58822,0.465256
470,t2,t8,1.31882,4.57741,0.895216
480,t4,t2,0,0.571244,-0.0593788
480,t10,NA,2.31032,6.58822,0.465256
480,t2,t8,1.31882,4.57741,0.895216
490,t4,t2,0,0.571244,-0.0593788
490,t10,NA,2.31032,6.58822,0.465256
490,t2,t8,1.31882,4.57741,0.895216
500,t4,t2,0,0.571244,-0.103381
500,t10,NA,2.31032,6.58822,0.465256
500,t2,t8,1.31882,4.57741,0.895216
510,t4,t2,0,0.571244,-0.103381
510,t10,NA,2.31032,6.58822,-0.416219
510,t2,t8,1.31882,4.57741,0.895216
510,t2,t8,1.49142,1.35258,-0.125985
520,t4,t2,0,0.571244,-0.103381
520,t10,NA,2.31032,6.58822,-0.416219
520,t2,t8,1.31882,4.57741,0.895216
520,t2,t8,1.49142,1.35258,-0.125985
530,t4,t2,0,0.571244,-0.103381
530,t10,NA,2.31032,5.25094,-0.416219
530,t2,t8,1.31882,4.57741,0.895216
530,t2,t8,1.49142,1.35258,-0.125985
540,t4,t2,0,0.571244,-0.103381
540,t10,NA,2.31032,4.01105,-0.416219
540,t2,t8,1.37664,4.57741,0.895216
540,t2,t8,1.49142,1.31648,-0.125985
550,t4,t2,0,0.571244,-0.103381
550,t10,NA,2.31032,4.01105,-0.416219
550,t2,t8,1.37664,4.57741,0.895216
550,t2,t8,1.49424,1.31648,-0.125985
560,t4,t2,0,0.571244,-0.103381
560,t10,NA,2.26988,4.01105,-0.818685
560,t2,t8,1.37664,4.57741,0.895216
560,t2,t8,1.49424,1.31648,-0.125985
570,t4,t2,0,0.571244,-0.103381
570,t10,NA,2.26988,4.01105,-0.818685
570,t2,t8,1.49424,1.89951,-0.125985
580,t4,t2,0,0.571244,-0.103381
580,t10,NA,2.26988,6.35452,-0.818685
580,t2,t8,1.49424,1.89951,-0.125985
590,t4,t2,0,0.571244,-0.103381
590,t10,NA,2.31636,6.35452,-0.818685
590,t2,t8,1.54598,1.89951,-0.125985
600,t4,t2,0,0.571244,-0.103381
600,t10,NA,2.31636,6.35452,-0.818685
600,t2,t8,1.54598,1.89951,-0.125985
610,t4,t2,0,0.571244,-0.103381
610,t10,NA,2.31636,6.35452,-0.818685
610,t2,t8,1.54598,1.89951,-0.125985
620,t4,t2,0,0.571244,-0.103381
620,t10,NA,2.31636,6.35452,-0.818685
620,t2,t8,1.59299,1.89951,-0.125985
630,t4,t2,0,0.360142,-0.103381
630,t10,NA,2.31636,6.35452,-0.818685
630,t2,t8,1.59299,1.89951,-0.125985
640,t4,t2,0,0.360142,-0.103381
640,t10,NA,2.31636,6.35452,-0.818685
640,t2,t8,1.59299,1.89951,-0.125985
650,t4,t2,0,0.360142,-0.103381
650,t10,NA,2.31636,6.35452,-0.818685
650,t2,t8,1.59299,1.89951,-0.125985
660,t4,t2,0,0.360142,-0.103381
660,t10,NA,2.31636,6.35452,-0.818685
660,t2,t8,1.59299,1.89951,-0.125985
670,t4,t2,0,0.360142,-0.103381
670,t10,NA,2.31636,6.35452,-0.818685
670,t2,t8,1.59299,1.89951,-0.125985
680,t4,t2,0,0.360142,-0.103381
680,t10,NA,2.31636,6.35452,-0.818685
680,t2,t8,1.59299,1.89951,-0.125985
690,t4,t2,0,0.360142,-0.103381
690,t10,NA,2.31636,6.35452,-0.818685
690,t2,t8,0.736285,0.54921,0.375357
690,t2,t8,1.59299,1.89951,-0.125985
700,t4,t2,0,0.360142,-0.103381
700,t10,NA,2.31636,6.35452,-0.818685
700,t2,t8,0.736285,0.54921,0.375357
700,t2,t8,1.59299,1.89951,-0.125985
710,t4,t2,0,0.360142,-0.103381
710,t10,NA,2.31636,6.35452,-0.818685
710,t2,t8,0.736285,0.54921,0.375357
710,t2,t8,1.59299,1.89951,-0.125985
720,t4,t2,0,0.360142,-0.103381
720,t10,NA,2.31636,6.35452,-0.818685
720,t2,t8,0.736285,0.54921,0.375357
720,t2,t8,1.59299,1.89951,-0.125985
730,t4,t2,0,0.360142,-0.103381
730,t10,NA,2.31636,6.35452,-0.818685
730,t2,t8,1.59299,1.89951,-0.125985
740,t4,t2,0,0.360142,-0.103381
740,t10,NA,2.31636,6.35452,-0.820812
740,t2,t8,1.59299,1.89951,-0.125985
750,t4,t2,0,0.360142,-0.103381
750,t10,NA,2.31636,6.35452,-0.820812
750,t10,NA,2.55312,2.57513,-0.0933337
750,t2,t8,1.59299,1.57269,-0.125985
760,t4,t2,0,0.360142,-0.103381
