generation,leftchild,rightchild,abstime,betainit,betashift
0,t16,t38,0,0.5,0
10,t16,t38,0,0.5,0
20,t16,t38,0,0.5,0
30,t16,t38,0,0.653099,0
40,t16,t38,0,0.653099,0
50,t16,t38,0,0.653099,0
60,t16,t38,0,0.685045,0
70,t16,t38,0,0.728331,0.0934019
80,t16,t38,0,0.728331,0.0934019
90,t16,t38,0,0.728331,0.0934019
100,t16,t38,0,0.728331,0.0934019
110,t16,t38,0,0.728331,0.0934019
120,t16,t38,0,0.728331,0.0934019
130,t16,t38,0,0.728331,0.0934019
140,t16,t38,0,0.728331,0.0934019
150,t16,t38,0,1.0357,2.87142
160,t16,t38,0,1.0357,2.87142
170,t16,t38,0,1.0357,2.87142
180,t16,t38,0,1.48494,2.87142
190,t16,t38,0,1.48494,2.87142
200,t16,t38,0,1.48494,2.87142
210,t16,t38,0,1.48494,2.72152
220,t16,t38,0,1.48494,2.72152
230,t16,t38,0,1.48494,2.72152
240,t16,t38,0,1.48494,2.72152
250,t16,t38,0,1.48494,2.72152
260,t16,t38,0,1.48494,2.72152
270,t16,t38,0,1.48494,2.72152
280,t16,t38,0,1.48494,2.72152
290,t16,t38,0,1.48494,2.72152
300,t16,t38,0,1.48494,2.72152
310,t16,t38,0,1.48494,1.35103
320,t16,t38,0,1.34971,1.35103
330,t16,t38,0,1.34971,0.815012
340,t16,t38,0,1.34971,0.815012
350,t16,t38,0,1.34971,0.815012
360,t16,t38,0,1.34971,0.815012
370,t16,t38,0,1.34971,0.815012
380,t16,t38,0,1.34971,0.815012
390,t16,t38,0,1.34971,0.815012
400,t16,t38,0,1.34971,0.815012
410,t16,t38,0,1.34971,0.815012
420,t16,t38,0,1.34971,0.815012
430,t16,t38,0,1.34971,0.815012
440,t16,t38,0,1.34971,0.815012
450,t16,t38,0,1.34971,0.815012
460,t16,t38,0,1.34971,0.815012
470,t16,t38,0,1.34971,0.815012
480,t16,t38,0,1.34971,0.815012
490,t16,t38,0,1.34971,0.815012
500,t16,t38,0,1.34971,0.815012
510,t16,t38,0,1.34971,0.815012
520,t16,t38,0,1.34971,0.815012
530,t16,t38,0,1.54236,0.739497
540,t16,t38,0,1.54236,0.739497
550,t16,t38,0,1.54236,0.739497
560,t16,t38,0,1.54236,0.739497
570,t16,t38,0,1.66163,0.739497
580,t16,t38,0,1.66163,0.739497
590,t16,t38,0,1.66163,0.739497
600,t16,t38,0,1.66163,0.739497
610,t16,t38,0,1.66163,0.739497
620,t16,t38,0,1.66163,0.739497
630,t16,t38,0,1.66163,0.739497
640,t16,t38,0,1.66163,0.199192
650,t16,t38,0,1.66163,0.199192
660,t16,t38,0,1.66163,0.199192
