generation,leftchild,rightchild,abstime,betainit,betashift
0,t4,t8,0,0.5,0
10,t4,t8,0,0.5,0
20,t4,t8,0,0.5,0
20,t10,t7,0.585016,4.13337,-0.017572
30,t4,t8,0,0.5,0
30,t10,t7,0.585016,2.52227,-0.017572
40,t4,t8,0,0.5,0
40,t10,t7,0.585016,2.52227,-0.017572
50,t4,t8,0,0.5,0
50,t10,t7,0.549421,2.52227,-0.017572
60,t4,t8,0,0.5,0
60,t10,t7,0.549421,2.52227,-0.017572
70,t4,t8,0,0.5,0
70,t10,t7,0.549421,2.52227,-0.017572
80,t4,t8,0,0.5,0
80,t10,t7,0.566438,2.52227,-0.017572
90,t4,t8,0,0.5,0
90,t10,t7,0.566438,2.52227,-0.017572
100,t4,t8,0,0.5,0
100,t10,t7,0.566438,2.52227,-0.017572
110,t4,t8,0,0.5,0
110,t10,t7,0.566438,2.52227,-0.017572
120,t4,t8,0,0.5,0
120,t10,t7,0.566438,2.52227,-0.017572
130,t4,t8,0,0.5,0
130,t10,t7,0.566438,2.52227,-0.017572
140,t4,t8,0,0.5,0.410992
140,t10,t7,0.57736,2.52227,-0.017572
150,t4,t8,0,0.5,0.410992
150,t10,t7,0.546202,2.52227,-0.017572
160,t4,t8,0,0.5,0.410992
160,t10,t7,0.546202,2.52227,-0.017572
170,t4,t8,0,0.5,0.410992
170,t10,t7,0.546202,2.52227,-0.017572
180,t4,t8,0,0.5,0.410992
180,t3,NA,0.895979,0.601509,0.16885
180,t10,t7,0.546202,2.52227,-0.017572
190,t4,t8,0,0.5,0.410992
190,t3,NA,0.895979,0.601509,0.16885
190,t10,t7,0.546202,2.52227,-0.017572
200,t4,t8,0,0.5,0.410992
200,t3,NA,0.895979,0.601509,0.16885
200,t10,t7,0.546202,2.52227,0.252741
210,t4,t8,0,0.5,0.410992
210,t3,NA,0.895979,0.902534,0.16885
210,t10,t7,0.546202,2.52227,0.252741
220,t4,t8,0,0.5,0.410992
220,t3,NA,0.895979,0.902534,0.16885
220,t10,t7,0.554625,2.52227,0.252741
230,t4,t8,0,0.5,0.410992
230,t3,NA,0.895979,0.902534,0.16885
230,t10,t7,0.554625,2.52227,0.252741
240,t4,t8,0,0.468205,0.410992
240,t3,NA,0.895979,0.902534,0.16885
240,t10,t7,0.554625,1.64573,0.252741
250,t4,t8,0,0.468205,0.410992
250,t3,NA,0.895979,0.902534,0.16885
250,t10,t7,0.554625,4.08152,0.252741
260,t4,t8,0,0.468205,0.410992
260,t3,NA,0.895979,0.902534,0.16885
260,t10,t7,0.554625,4.08152,0.252741
270,t4,t8,0,0.468205,0.410992
270,t3,NA,0.895979,0.902534,0.16885
270,t10,t7,0.554625,4.08152,0.252741
280,t4,t8,0,0.468205,0.410992
280,t3,NA,0.895979,0.902534,0.16885
280,t10,t7,0.554625,4.08152,0.252741
290,t4,t8,0,0.468205,0.410992
290,t3,NA,0.895979,0.902534,0.16885
290,t10,t7,0.554625,4.08152,0.252741
300,t4,t8,0,0.468205,0.410992
300,t3,NA,0.895979,0.902534,0.16885
300,t10,t7,0.554625,4.08152,0.252741
310,t4,t8,0,0.468205,0.410992
310,t10,t7,0.554625,4.08152,0.252741
320,t4,t8,0,0.468205,0.410992
320,t10,t7,0.554625,4.08152,0.252741
330,t4,t8,0,0.468205,0.410992
330,t10,t7,0.554625,4.08152,0.252741
340,t4,t8,0,0.725004,0.410992
340,t10,t7,0.554211,4.08152,0.252741
350,t4,t8,0,0.725004,0.410992
350,t10,t7,0.562567,4.08152,0.252741
360,t4,t8,0,0.725004,0.342215
360,t10,t7,0.562567,4.08152,0.252741
370,t4,t8,0,0.725004,0.342215
370,t10,t7,0.562567,4.08152,0.252741
380,t4,t8,0,0.725004,0.256103
380,t10,t7,0.562567,4.08152,0.252741
390,t4,t8,0,0.725004,0.256103
390,t10,t7,0.562567,8.80747,0.252741
400,t4,t8,0,1.1381,0.256103
400,t10,t7,0.584338,8.80747,0.252741
400,t10,t7,0.794159,3.02893,-0.0982898
410,t4,t8,0,1.1381,0.256103
410,t10,t7,0.559945,8.80747,0.252741
410,t10,t7,0.794159,3.02893,-0.0982898
420,t4,t8,0,0.774541,0.256103
420,t10,t7,0.559945,7.44964,0.252741
420,t10,t7,0.794159,3.02893,-0.0982898
430,t4,t8,0,0.774541,0.256103
430,t10,t7,0.559945,7.44964,0.252741
430,t10,t7,0.794159,3.02893,-0.0982898
440,t4,t8,0,0.774541,0.256103
440,t10,t7,0.559945,7.44964,0.252741
440,t10,t7,0.794159,3.02893,-0.0982898
450,t4,t8,0,0.774541,0.256103
450,t10,t7,0.559945,7.44964,-0.374746
450,t10,t7,0.794159,3.02893,-0.0982898
460,t4,t8,0,0.774541,0.256103
460,t10,t7,0.794159,3.02893,-0.0982898
460,t5,NA,0.318338,0.723874,0.260088
470,t4,t8,0,0.774541,0.256103
470,t10,t7,0.809266,3.02893,-0.0982898
470,t5,NA,0.343343,0.723874,0.260088
480,t4,t8,0,1.2209,0.256103
480,t10,t7,0.814813,2.4748,-0.0982898
480,t5,NA,0.343343,0.723874,0.260088
490,t4,t8,0,1.2209,0.256103
490,t10,t7,0.814813,2.4748,-0.0982898
490,t5,NA,0.343343,0.723874,0.260088
500,t4,t8,0,1.2209,0.256103
500,t10,t7,0.814813,2.4748,-0.0982898
500,t5,NA,0.343343,0.942626,0.260088
510,t4,t8,0,1.2209,0.256103
510,t10,t7,0.814813,2.4748,-0.0982898
510,t5,NA,0.355641,0.942626,0.260088
520,t4,t8,0,1.2209,0.256103
520,t10,t7,0.814813,2.4748,0.145205
520,t5,NA,0.355641,0.942626,0.260088
530,t4,t8,0,1.2209,0.256103
530,t10,t7,0.814813,2.4748,0.145205
530,t5,NA,0.355641,0.942626,0.260088
540,t4,t8,0,1.2209,0.256103
540,t10,t7,0.814813,2.4748,0.145205
540,t5,NA,0.334543,0.942626,0.260088
550,t4,t8,0,1.2209,0.256103
550,t10,t7,0.814813,2.4748,0.145205
550,t5,NA,0.334543,0.942626,0.260088
560,t4,t8,0,1.2209,0.256103
560,t10,t7,0.831565,2.4748,0.145205
560,t5,NA,0.334543,0.942626,0.260088
570,t4,t8,0,1.2209,0.256103
570,t10,t7,0.831565,2.4748,0.145205
570,t5,NA,0.334543,0.942626,0.260088
580,t4,t8,0,1.2209,0.256103
580,t10,t7,0.831565,2.4748,0.145205
580,t5,NA,0.334543,0.942626,0.260088
590,t4,t8,0,1.2209,0.256103
590,t10,t7,0.831565,2.4748,0.145205
590,t5,NA,0.334543,0.942626,0.260088
600,t4,t8,0,1.2209,0.256103
600,t10,t7,0.831565,2.4748,0.145205
