generation,leftchild,rightchild,abstime,betainit,betashift
0,t15,t12,0,0.5,0
10,t15,t12,0,0.5,0.11694
20,t15,t12,0,0.5,0.11694
30,t15,t12,0,0.5,0.11694
30,t26,NA,3.93026,1.83404,-0.185656
40,t15,t12,0,0.5,0.11694
40,t36,NA,2.81055,1.83404,-0.185656
50,t15,t12,0,0.5,0.11694
50,t36,NA,2.81055,1.83404,-0.185656
60,t15,t12,0,0.5,0.11694
60,t23,NA,3.93241,16.5418,-0.0775571
60,t36,NA,2.81055,1.6338,-0.185656
60,t36,NA,3.39402,14.0909,0.159503
70,t15,t12,0,0.5,0.11694
70,t23,NA,3.85145,16.5418,-0.0775571
70,t36,NA,2.81055,1.6338,-0.185656
70,t36,NA,3.39402,14.0909,0.159503
80,t15,t12,0,0.5,0.11694
80,t23,NA,3.85145,16.5418,-0.0775571
80,t36,NA,2.81055,1.6338,-0.185656
80,t36,NA,3.39402,14.0909,0.159503
90,t15,t12,0,0.5,0.11694
90,t23,NA,3.85145,16.5418,-0.0775571
90,t36,NA,2.81055,1.79233,-0.185656
90,t36,NA,3.39402,14.0909,0.159503
100,t15,t12,0,0.5,0.11694
100,t23,NA,3.85145,16.5418,-0.0775571
100,t36,NA,2.72357,1.79233,-0.185656
100,t36,NA,3.39402,14.0909,0.159503
110,t15,t12,0,0.5,0.11694
110,t23,NA,3.85145,16.5418,-0.0775571
110,t36,NA,2.72357,1.79233,-0.185656
110,t36,NA,3.39402,14.0909,0.159503
120,t15,t12,0,0.5,0.11694
120,t23,NA,3.85145,24.3902,-0.0775571
120,t36,NA,2.72357,1.79233,-0.185656
120,t36,NA,3.39402,14.0909,0.159503
130,t15,t12,0,0.5,0.11694
130,t23,NA,3.85145,24.3902,-0.0775571
130,t36,NA,2.72357,1.79233,-0.185656
130,t36,NA,3.39402,18.7706,0.159503
140,t15,t12,0,0.5,0.11694
140,t23,NA,3.85145,24.3902,-0.0775571
140,t36,NA,3.39402,18.7706,0.159503
150,t15,t12,0,0.5,0.11694
150,t23,NA,3.85145,24.3902,-0.0775571
150,t36,NA,3.39582,18.7706,0.159503
160,t15,t12,0,0.5,0.11694
160,t23,NA,3.91997,24.3902,-0.0775571
160,t36,NA,3.32032,18.7706,-0.255985
170,t15,t12,0,0.5,0.11694
170,t23,NA,3.85568,24.3902,-0.0775571
170,t36,NA,3.32032,18.7706,-0.255985
180,t15,t12,0,0.5,0.11694
180,t23,NA,3.85568,24.3902,-0.0775571
190,t15,t12,0,0.5,0.11694
190,t23,NA,3.85568,19.3292,-0.0775571
200,t15,t12,0,0.597877,0.11694
200,t23,NA,3.85568,12.1602,-0.0775571
210,t15,t12,0,0.597877,0.11694
210,t23,NA,3.85568,12.1602,-0.0775571
220,t15,t12,0,0.597877,0.11694
220,t23,NA,3.85568,12.1602,-0.0775571
230,t15,t12,0,0.597877,0.11694
230,t23,NA,3.85568,18.3384,-0.0775571
240,t15,t12,0,0.597877,0.11694
240,t23,NA,3.85568,18.3384,-0.0775571
250,t15,t12,0,0.597877,0.11694
250,t23,NA,3.85568,15.7319,-0.0775571
260,t15,t12,0,0.703114,0.11694
260,t23,NA,3.85568,15.7319,-0.0775571
270,t15,t12,0,0.703114,0.11694
270,t23,NA,3.85568,15.7319,-0.0775571
280,t15,t12,0,0.96063,0.11694
280,t23,NA,3.85568,15.7319,-0.0775571
290,t15,t12,0,0.96063,0.11694
290,t23,NA,3.85568,15.7319,-0.0775571
300,t15,t12,0,0.96063,0.11694
310,t15,t12,0,0.96063,0.11694
320,t15,t12,0,0.96063,0.11694
330,t15,t12,0,0.96063,0.11694
340,t15,t12,0,0.96063,0.11694
350,t15,t12,0,0.96063,0.11694
360,t15,t12,0,0.96063,0.11694
370,t15,t12,0,0.96063,0.11694
380,t15,t12,0,0.96063,0.11694
390,t15,t12,0,0.96063,0.11694
400,t15,t12,0,0.96063,0.11694
410,t15,t12,0,0.96063,0.11694
420,t15,t12,0,0.96063,0.11694
430,t15,t12,0,0.96063,0.11694
440,t15,t12,0,0.96063,0.11694
450,t15,t12,0,0.96063,0.11694
460,t15,t12,0,0.96063,0.11694
470,t15,t12,0,0.96063,0.11694
480,t15,t12,0,0.96063,0.11694
490,t15,t12,0,0.96063,0.11694
500,t15,t12,0,0.96063,0.11694
500,t36,NA,3.51547,1.18167,-0.592996
510,t15,t12,0,0.96063,0.11694
520,t15,t12,0,0.943947,0.11694
530,t15,t12,0,0.943947,0.11694
540,t15,t12,0,0.943947,0.11694
550,t15,t12,0,0.943947,0.11694
560,t15,t12,0,0.943947,0.11694
560,t36,NA,1.13911,17.4271,0.505044
570,t15,t12,0,0.943947,0.11694
570,t36,NA,1.13911,17.4271,0.505044
580,t15,t12,0,0.943947,0.11694
580,t36,NA,1.13911,17.4271,0.505044
590,t15,t12,0,0.943947,0.11694
590,t36,NA,1.14184,17.4271,0.505044
600,t15,t12,0,0.943947,0.117178
600,t36,NA,1.14184,17.4271,0.505044
610,t15,t12,0,0.943947,0.117178
610,t36,NA,1.21526,17.4271,0.505044
620,t15,t12,0,0.943947,0.117178
630,t15,t12,0,0.943947,0.117178
640,t15,t12,0,0.943947,0.117178
650,t15,t12,0,0.943947,0.117178
660,t15,t12,0,0.943947,0.117178
670,t15,t12,0,0.943947,0.179667
680,t15,t12,0,0.943947,0.179667
690,t15,t12,0,1.17308,0.179667
700,t15,t12,0,1.17308,0.179667
710,t15,t12,0,1.17308,0.179667
720,t15,t12,0,0.999183,0.179667
730,t15,t12,0,0.999183,0.179667
740,t15,t12,0,0.999183,0.179667
750,t15,t12,0,0.999183,0.179667
760,t15,t12,0,0.999183,0.131863
770,t15,t12,0,0.997814,0.131863
780,t15,t12,0,0.997814,0.131863
790,t15,t12,0,0.997814,0.131863
800,t15,t12,0,0.997814,0.131863
810,t15,t12,0,0.997814,0.131863
820,t15,t12,0,0.997814,0.131863
820,t41,NA,3.82162,10.2516,-0.0342293
830,t15,t12,0,0.997814,0.131863
830,t41,NA,3.77877,10.2516,-0.0342293
840,t15,t12,0,0.997814,0.131863
850,t15,t12,0,0.997814,0.131863
860,t15,t12,0,0.997814,0.131863
870,t15,t12,0,0.997814,0.131863
880,t15,t12,0,0.924676,0.131863
890,t15,t12,0,0.924676,0.131863
900,t15,t12,0,0.924676,0.473934
910,t15,t12,0,0.924676,0.412262
920,t15,t12,0,0.924676,0.412262
930,t15,t12,0,0.924676,0.412262
940,t15,t12,0,0.924676,0.412262
950,t15,t12,0,0.924676,0.412262
960,t15,t12,0,0.924676,0.412262
970,t15,t12,0,0.924676,0.412262
980,t15,t12,0,0.924676,0.412262
990,t15,t12,0,0.999393,0.412262
1000,t15,t12,0,0.999393,0.340567
1010,t15,t12,0,0.999393,0.340567
1020,t15,t12,0,0.999393,0.340567
1030,t15,t12,0,0.999393,0.340567
1040,t15,t12,0,0.999393,0.340567
1050,t15,t12,0,1.00268,0.340567
1060,t15,t12,0,1.00268,0.340567
