generation,leftchild,rightchild,abstime,betainit,betashift
0,t33,t36,0,0.5,0
10,t33,t36,0,0.5,0
20,t33,t36,0,0.5,0
30,t33,t36,0,0.5,0
30,t36,t2,3.39661,2.07908,-0.0175255
40,t33,t36,0,0.5,0
40,t36,t2,3.39661,2.07908,-0.0175255
50,t33,t36,0,0.5,0
50,t36,t2,3.39661,2.07908,-0.0175255
60,t33,t36,0,0.5,0
60,t36,t2,3.39661,2.07908,-0.0175255
70,t33,t36,0,0.5,0
70,t36,t2,3.39661,2.95336,-0.0175255
80,t33,t36,0,0.5,0
80,t36,t2,3.39661,2.95336,-0.0175255
90,t33,t36,0,0.5,0
100,t33,t36,0,0.5,1.67149
110,t33,t36,0,0.649137,1.67149
120,t33,t36,0,0.649137,1.67149
130,t33,t36,0,0.649137,1.67149
140,t33,t36,0,0.649137,1.67149
150,t33,t36,0,0.649137,1.67149
160,t33,t36,0,0.840284,1.67149
170,t33,t36,0,0.840284,1.67149
180,t33,t36,0,0.840284,1.01133
190,t33,t36,0,0.840284,1.01133
200,t33,t36,0,0.840284,1.01133
210,t33,t36,0,0.840284,1.01133
220,t33,t36,0,0.840284,1.01133
230,t33,t36,0,1.28008,1.01133
240,t33,t36,0,1.3271,1.01133
250,t33,t36,0,1.57715,1.01133
260,t33,t36,0,2.03065,1.01133
270,t33,t36,0,2.03065,1.01133
280,t33,t36,0,2.03065,1.01133
290,t33,t36,0,2.03065,1.01133
300,t33,t36,0,2.03065,1.01133
310,t33,t36,0,2.03065,1.01133
320,t33,t36,0,2.03065,1.01133
330,t33,t36,0,2.03065,1.01133
340,t33,t36,0,2.03065,1.01133
350,t33,t36,0,2.03065,1.01133
360,t33,t36,0,2.03065,0.788938
370,t33,t36,0,2.03065,0.788938
380,t33,t36,0,2.03065,0.788938
390,t33,t36,0,2.27601,0.549912
400,t33,t36,0,2.27601,0.549912
410,t33,t36,0,2.27601,0.549912
420,t33,t36,0,2.27601,0.549912
430,t33,t36,0,2.27601,0.549912
440,t33,t36,0,2.27601,0.549912
450,t33,t36,0,2.27601,0.549912
460,t33,t36,0,2.27601,0.549912
470,t33,t36,0,2.27601,0.549912
480,t33,t36,0,1.89327,0.549912
490,t33,t36,0,1.89327,0.549912
500,t33,t36,0,1.89327,0.549912
510,t33,t36,0,1.89327,0.549912
