generation,leftchild,rightchild,abstime,betainit,betashift
0,t37,t4,0,0.5,0
10,t37,t4,0,0.5,0
20,t37,t4,0,0.652255,0
30,t37,t4,0,0.652255,0
40,t37,t4,0,0.652255,1.03296
50,t37,t4,0,0.652255,1.03296
60,t37,t4,0,0.652255,1.03296
70,t37,t4,0,0.652255,1.03296
80,t37,t4,0,0.652255,1.03296
90,t37,t4,0,0.936395,1.03296
100,t37,t4,0,1.36,1.03296
110,t37,t4,0,1.36,1.7274
120,t37,t4,0,1.36,1.7274
130,t37,t4,0,3.25467,1.7274
140,t37,t4,0,3.25467,0.675799
150,t37,t4,0,3.25467,0.675799
160,t37,t4,0,3.25467,0.675799
170,t37,t4,0,3.25467,0.675799
180,t37,t4,0,3.25467,0.675799
190,t37,t4,0,3.25467,0.675799
200,t37,t4,0,3.25467,0.675799
210,t37,t4,0,3.25467,0.675799
220,t37,t4,0,4.22797,0.675799
230,t37,t4,0,4.22797,0.675799
240,t37,t4,0,4.22797,0.675799
240,t23,t50,1.61817,6.3419,0.25014
250,t37,t4,0,4.22797,0.675799
250,t23,t50,1.61817,6.3419,0.25014
260,t37,t4,0,4.22797,0.675799
260,t23,t50,1.61551,6.3419,0.25014
270,t37,t4,0,4.22797,0.675799
270,t23,t50,1.61797,6.3419,-0.312965
280,t37,t4,0,4.22797,0.675799
280,t23,t50,1.61797,6.3419,-0.312965
290,t37,t4,0,2.97008,0.675799
290,t23,t50,1.61797,6.3419,-0.312965
300,t37,t4,0,2.97008,0.675799
300,t23,t50,1.55929,6.3419,-0.312965
310,t37,t4,0,2.97008,0.675799
310,t23,t50,1.58751,6.3419,-0.312965
320,t37,t4,0,2.97008,0.675799
330,t37,t4,0,2.97008,0.675799
340,t37,t4,0,2.97008,0.675799
350,t37,t4,0,2.97008,0.675799
360,t37,t4,0,2.97008,0.675799
370,t37,t4,0,2.12965,0.675799
380,t37,t4,0,2.12965,0.675799
390,t37,t4,0,2.12965,0.675799
400,t37,t4,0,2.12965,0.675799
410,t37,t4,0,2.12965,0.675799
420,t37,t4,0,2.03943,0.675799
430,t37,t4,0,2.03943,0.675799
440,t37,t4,0,2.03943,0.675799
450,t37,t4,0,2.03943,0.675799
460,t37,t4,0,2.03943,0.675799
470,t37,t4,0,2.03943,0.675799
480,t37,t4,0,1.36125,0.675799
490,t37,t4,0,1.36125,0.675799
500,t37,t4,0,1.36125,0.675799
510,t37,t4,0,1.36125,0.675799
520,t37,t4,0,1.36125,0.675799
530,t37,t4,0,1.23306,0.675799
540,t37,t4,0,1.23306,0.496543
550,t37,t4,0,1.23306,0.496543
560,t37,t4,0,1.61766,0.496543
570,t37,t4,0,1.61766,0.496543
580,t37,t4,0,1.61766,0.496543
590,t37,t4,0,1.61766,0.496543
600,t37,t4,0,1.61766,0.255488
610,t37,t4,0,1.8354,0.255488
620,t37,t4,0,1.8354,0.255488
630,t37,t4,0,1.8354,0.255488
640,t37,t4,0,1.8354,0.255488
650,t37,t4,0,1.8354,0.255488
660,t37,t4,0,1.8354,0.255488
670,t37,t4,0,1.95749,0.255488
680,t37,t4,0,1.95749,0.349386
690,t37,t4,0,1.95749,0.349386
700,t37,t4,0,1.95749,0.349386
700,t4,NA,1.85666,6.77577,-0.717347
710,t37,t4,0,1.95749,0.349386
710,t4,NA,1.80489,6.77577,-0.717347
710,t18,t9,1.34724,7.80034,-0.245586
720,t37,t4,0,1.95749,0.349386
720,t4,NA,1.80489,6.77577,-0.717347
720,t18,t9,1.34724,7.80034,-0.245586
730,t37,t4,0,1.95749,0.349386
730,t4,NA,1.80489,4.18464,-0.717347
730,t18,t9,1.34724,7.80034,-0.245586
740,t37,t4,0,1.95749,0.349386
740,t4,NA,1.80489,5.65711,-0.717347
740,t18,t9,1.34724,7.80034,-0.245586
750,t37,t4,0,1.95749,0.349386
750,t4,NA,1.80489,5.65711,-0.717347
750,t18,t9,1.34724,7.80034,-0.245586
760,t37,t4,0,1.95749,0.152439
760,t4,NA,1.80489,5.65711,-0.717347
760,t18,t9,1.34724,11.8166,-0.245586
770,t37,t4,0,1.95749,0.152439
770,t4,NA,1.85054,5.65711,-0.294164
770,t18,t9,1.29126,11.8166,-0.245586
780,t37,t4,0,1.95749,0.152439
780,t4,NA,1.85054,5.65711,-0.294164
780,t18,t9,1.29126,11.8166,-0.245586
790,t37,t4,0,1.95749,0.152439
790,t4,NA,1.85054,5.65711,-0.294164
790,t18,t9,1.29126,11.8166,-0.245586
800,t37,t4,0,1.95749,0.152439
800,t4,NA,1.85054,5.65711,-0.294164
800,t18,t9,1.27367,11.8166,-0.245586
810,t37,t4,0,1.95749,0.152439
810,t4,NA,1.85054,5.65711,-0.274997
810,t18,t9,1.27367,10.0947,-0.245586
820,t37,t4,0,1.95749,0.152439
820,t4,NA,1.85054,5.65711,-0.274997
820,t18,t9,1.27367,10.0947,-0.245586
830,t37,t4,0,1.95749,0.152439
830,t4,NA,1.85054,5.65711,-0.274997
830,t18,t9,1.27367,10.0947,-0.245586
840,t37,t4,0,1.95749,0.152439
840,t18,t9,1.27367,10.0947,-0.245586
850,t37,t4,0,1.95749,0.152439
850,t18,t9,1.27367,10.0947,-0.245586
860,t37,t4,0,1.95749,0.152439
860,t18,t9,1.27367,10.0947,-0.245586
870,t37,t4,0,1.95749,0.152439
870,t18,t9,1.27367,9.21135,-0.245586
880,t37,t4,0,1.95749,0.152439
880,t18,t9,1.27367,9.21135,0.784845
890,t37,t4,0,1.95749,0.152439
890,t18,t9,1.27367,9.21135,0.784845
900,t37,t4,0,1.95749,0.152439
900,t18,t9,1.27367,9.21135,0.784845
910,t37,t4,0,1.95749,0.152439
910,t18,t9,1.27367,8.64592,0.784845
920,t37,t4,0,1.95749,0.152439
920,t18,t9,1.27367,8.64592,0.784845
930,t37,t4,0,1.95749,0.152439
930,t18,t9,1.27367,8.64592,0.784845
940,t37,t4,0,1.95749,0.152439
940,t18,t9,1.27367,8.64592,0.784845
950,t37,t4,0,1.72706,0.152439
960,t37,t4,0,2.23522,0.152439
960,t2,NA,2.31074,10.5046,-0.174798
970,t37,t4,0,2.23522,0.152439
970,t2,NA,2.31074,10.5046,-0.174798
980,t37,t4,0,2.23522,0.152439
980,t2,NA,2.31074,10.5046,-0.174798
990,t37,t4,0,2.23522,0.152439
