generation,leftchild,rightchild,abstime,betainit,betashift
0,t25,t15,0,0.5,0
10,t25,t15,0,0.5,0
20,t25,t15,0,0.652255,0
30,t25,t15,0,0.652255,0
40,t25,t15,0,0.652255,0
40,t25,t1,1.88506,14.7709,0.469322
50,t25,t15,0,0.652255,0
50,t25,t1,1.88506,14.7709,0.469322
60,t25,t15,0,0.652255,0
60,t25,t1,1.88506,14.7709,0.469322
70,t25,t15,0,0.652255,0
70,t25,t1,1.88506,14.7709,0.469322
80,t25,t15,0,0.652255,0
80,t25,t1,1.88506,14.7709,0.469322
90,t25,t15,0,0.652255,0
90,t25,t1,1.88506,14.7709,0.469322
100,t25,t15,0,0.652255,0
100,t25,t1,1.88506,14.7709,0.469322
110,t25,t15,0,0.652255,0
110,t25,t1,1.88506,9.53019,-0.250593
120,t25,t15,0,0.652255,0
120,t25,t1,1.90834,9.53019,-0.250593
130,t25,t15,0,0.652255,0
130,t25,t1,1.87284,9.53019,0.0697195
140,t25,t15,0,0.652255,0
140,t25,t1,1.87284,10.6107,0.0697195
150,t25,t15,0,0.652255,0
150,t25,t1,1.87833,10.6107,0.0697195
160,t25,t15,0,0.652255,0
160,t25,t1,1.87833,12.7108,-0.361626
170,t25,t15,0,0.652255,0
170,t25,t1,1.87833,12.7108,-0.361626
180,t25,t15,0,0.652255,0
180,t25,t1,1.8849,12.7108,-0.361626
190,t25,t15,0,0.652255,0
190,t25,t1,1.8849,18.8989,-0.361626
200,t25,t15,0,0.652255,0
200,t25,t1,1.8849,18.8989,-0.621792
210,t25,t15,0,0.652255,0
210,t25,t1,1.8849,13.0408,-0.621792
220,t25,t15,0,0.652255,0
220,t25,t1,1.8849,13.0408,-0.621792
230,t25,t15,0,0.652255,0
230,t25,t1,1.8849,10.9919,-0.621792
240,t25,t15,0,0.652255,0
240,t25,t1,1.8849,10.9919,-0.621792
250,t25,t15,0,0.652255,0
250,t25,t1,1.88225,10.9919,-0.621792
260,t25,t15,0,0.652255,0.150965
260,t25,t1,1.8847,10.9919,-0.621792
270,t25,t15,0,0.652255,0.150965
270,t25,t1,1.8847,10.9919,-0.621792
280,t25,t15,0,1.0743,0.150965
280,t25,t1,1.8847,10.9919,-0.621792
290,t25,t15,0,1.0743,0.150965
290,t25,t1,1.8847,10.9919,-0.621792
300,t25,t15,0,1.0743,0.150965
300,t25,t1,1.82628,10.9919,-0.621792
310,t25,t15,0,1.0743,0.150965
310,t25,t1,1.85438,10.9919,-0.621792
320,t25,t15,0,1.0743,0.150965
320,t25,t1,1.85438,10.9919,-0.621792
