generation,leftchild,rightchild,abstime,betainit,betashift
0,t366,t203,0,0.5,0
10,t366,t203,0,0.5,0
20,t366,t203,0,0.5,0
30,t366,t203,0,0.5,0
40,t366,t203,0,0.5,0
50,t366,t203,0,0.5,0
60,t366,t203,0,0.5,0.673023
70,t366,t203,0,0.5,0.673023
80,t366,t203,0,0.542015,0.673023
90,t366,t203,0,0.542015,0.943796
100,t366,t203,0,0.542015,0.943796
110,t366,t203,0,0.542015,0.943796
120,t366,t203,0,0.622238,0.943796
130,t366,t203,0,0.622238,0.943796
140,t366,t203,0,0.622238,0.943796
150,t366,t203,0,0.622238,0.943796
160,t366,t203,0,0.622238,0.943796
170,t366,t203,0,0.622238,0.943796
180,t366,t203,0,0.622238,0.943796
190,t366,t203,0,0.622238,0.943796
200,t366,t203,0,0.622238,0.943796
210,t366,t203,0,0.622238,0.943796
220,t366,t203,0,0.622238,0.943796
230,t366,t203,0,0.622238,0.943796
240,t366,t203,0,0.622238,0.943796
240,t327,t300,4.65161,4.30097,0.543529
250,t366,t203,0,0.622238,0.943796
250,t327,t300,4.65161,4.30097,0.543529
260,t366,t203,0,0.94029,0.943796
260,t327,t300,4.65161,4.73397,0.543529
270,t366,t203,0,0.94029,0.943796
270,t327,t300,4.72876,4.73397,0.543529
280,t366,t203,0,0.94029,0.943796
280,t327,t300,4.72876,2.95979,0.543529
290,t366,t203,0,0.94029,0.943796
300,t366,t203,0,0.94029,0.943796
310,t366,t203,0,0.94029,0.943796
320,t366,t203,0,0.94029,0.943796
330,t366,t203,0,0.94029,0.943796
340,t366,t203,0,1.46327,0.943796
350,t366,t203,0,1.46327,0.943796
360,t366,t203,0,1.46327,0.943796
370,t366,t203,0,1.46327,0.943796
380,t366,t203,0,1.44893,0.529631
390,t366,t203,0,1.44893,0.529631
400,t366,t203,0,1.44893,0.529631
410,t366,t203,0,1.44893,0.529631
420,t366,t203,0,1.44893,0.529631
430,t366,t203,0,1.44893,0.529631
440,t366,t203,0,1.44893,0.529631
450,t366,t203,0,1.44893,0.529631
460,t366,t203,0,1.44893,0.529631
