generation,leftchild,rightchild,abstime,betainit,betashift
0,t9,t6,0,0.5,0
10,t9,t6,0,0.5,0
20,t9,t6,0,0.5,0
20,t7,t10,0.758768,5.62033,1.58505
30,t9,t6,0,0.5,0
30,t7,t10,0.758768,5.62033,0.9611
40,t9,t6,0,0.5,0
40,t7,t10,0.76174,5.62033,0.9611
50,t9,t6,0,0.5,0
50,t7,t10,0.76174,6.70782,0.9611
60,t9,t6,0,0.5,0
60,t4,NA,1.12126,12.0226,-1.11899
60,t7,t10,0.76174,6.70782,0.9611
70,t9,t6,0,0.5,0
70,t4,NA,1.09064,12.0226,-1.11899
70,t7,t10,0.76174,6.70782,0.9611
80,t9,t6,0,0.5,0
80,t4,NA,1.09064,12.0226,-0.186419
80,t7,t10,0.76174,6.70782,0.9611
90,t9,t6,0,0.556609,0
90,t4,NA,1.09064,12.0226,-0.186419
90,t7,t10,0.76174,6.70782,0.9611
100,t9,t6,0,0.556609,0
100,t4,NA,1.09064,12.0226,-0.186419
100,t7,t10,0.76174,6.70782,0.9611
110,t9,t6,0,0.556609,0
110,t4,NA,1.09064,12.0226,-0.186419
110,t7,t10,0.76174,6.70782,0.9611
120,t9,t6,0,0.556609,0
120,t4,NA,1.09064,12.0226,-0.186419
120,t7,t10,0.77911,6.70782,0.9611
130,t9,t6,0,0.556609,0
130,t4,NA,1.09064,12.0226,-0.186419
130,t7,t10,0.77911,6.70782,0.9611
140,t9,t6,0,0.556609,0
140,t4,NA,1.09064,8.25046,-0.186419
140,t7,t10,0.77911,5.08175,0.9611
150,t9,t6,0,0.556609,0
150,t4,NA,1.09064,8.25046,-0.186419
150,t7,t10,0.77911,5.08175,0.9611
160,t9,t6,0,0.556609,0
160,t4,NA,1.10979,8.25046,-0.186419
160,t7,t10,0.809177,5.08175,0.9611
170,t9,t6,0,0.556609,0
170,t4,NA,1.10979,8.25046,-0.186419
170,t7,t10,0.818369,5.08175,0.9611
180,t9,t6,0,0.556609,0.180946
180,t4,NA,1.10979,8.25046,-0.186419
180,t7,t10,0.818369,5.08175,0.9611
190,t9,t6,0,0.556609,0.180946
190,t4,NA,1.10979,8.25046,-0.186419
190,t7,t10,0.818369,5.08175,0.9611
200,t9,t6,0,0.556609,0.180946
200,t7,t10,0.818369,5.08175,0.9611
210,t9,t6,0,0.556609,0.180946
210,t7,t10,0.818369,5.08175,0.9611
220,t9,t6,0,0.556609,0.180946
220,t7,t10,0.818369,5.08175,0.9611
230,t9,t6,0,0.556609,0.180946
230,t7,t10,0.818369,5.08175,0.9611
240,t9,t6,0,0.556609,0.399418
240,t7,t10,0.818369,5.08175,0.9611
250,t9,t6,0,0.556609,0.399418
250,t7,t10,0.818369,5.08175,0.9611
260,t9,t6,0,0.556609,0.399418
260,t7,t10,0.818369,5.08175,0.9611
270,t9,t6,0,0.556609,0.399418
270,t7,NA,1.25497,6.77417,0.160069
270,t7,t10,0.806961,5.08175,0.9611
280,t9,t6,0,0.556609,0.399418
280,t7,t10,0.806961,5.08175,0.9611
290,t9,t6,0,0.556609,0.399418
290,t7,t10,0.776959,5.08175,0.9611
300,t9,t6,0,0.556609,0.399418
300,t8,t3,0.741839,2.22601,0.947252
300,t7,t10,0.776959,5.08175,0.9611
310,t9,t6,0,0.556609,0.399418
310,t7,t10,0.776959,5.08175,0.9611
320,t9,t6,0,0.556609,0.399418
320,t7,t10,0.776959,5.08175,0.9611
330,t9,t6,0,0.556609,0.399418
330,t7,t10,0.776959,3.68531,0.9611
340,t9,t6,0,0.556609,0.399418
340,t7,t10,0.776959,3.68531,0.9611
350,t9,t6,0,0.556609,0.399418
350,t7,t10,0.776959,3.68531,0.9611
360,t9,t6,0,0.632321,0.399418
360,t7,t10,0.776959,3.68531,0.9611
370,t9,t6,0,0.632321,0.399418
370,t7,t10,0.776959,3.68531,0.9611
380,t9,t6,0,0.632321,0.399418
380,t7,t10,0.776959,3.68531,0.9611
390,t9,t6,0,0.632321,0.399418
390,t7,t10,0.768612,3.68531,0.9611
400,t9,t6,0,0.632321,0.399418
400,t7,t10,0.768612,3.68531,0.9611
410,t9,t6,0,0.632321,0.796083
410,t7,t10,0.768612,3.68531,0.860316
420,t9,t6,0,0.949829,0.796083
420,t7,t10,0.768612,3.89267,0.493399
430,t9,t6,0,0.949829,0.796083
430,t7,t10,0.768612,3.89267,0.493399
440,t9,t6,0,0.949829,0.796083
440,t7,t10,0.768612,3.89267,0.493399
450,t9,t6,0,0.949829,0.796083
450,t7,t10,0.768612,3.89267,0.493399
460,t9,t6,0,0.949829,0.796083
460,t7,t10,0.763735,3.89267,0.493399
470,t9,t6,0,0.949829,0.796083
470,t7,t10,0.763735,3.89267,0.493399
480,t9,t6,0,0.949829,0.796083
480,t7,t10,0.763735,4.07717,0.493399
490,t9,t6,0,0.949829,0.796083
490,t7,t10,0.744693,4.07717,0.493399
500,t9,t6,0,1.33497,0.796083
500,t7,t10,0.744693,5.02461,0.493399
510,t9,t6,0,1.33497,0.796083
510,t7,t10,0.744693,5.02461,1.45404
520,t9,t6,0,1.33497,0.796083
520,t7,t10,0.744693,5.02461,1.45404
530,t9,t6,0,1.33497,0.796083
530,t7,t10,0.744693,5.02461,-0.285086
540,t9,t6,0,1.33497,0.796083
540,t7,t10,0.744693,5.02461,-0.285086
550,t9,t6,0,1.33026,0.796083
550,t7,t10,0.744693,5.96028,-0.285086
560,t9,t6,0,1.33026,0.796083
560,t7,t10,0.744693,5.96028,-0.285086
