generation,leftchild,rightchild,abstime,betainit,betashift
0,t165,t126,0,0.5,0
10,t165,t126,0,0.5,0
20,t165,t126,0,0.5,0
30,t165,t126,0,0.5,0
40,t165,t126,0,0.586654,0
50,t165,t126,0,0.586654,0
60,t165,t126,0,0.959018,0
70,t165,t126,0,0.959018,0
80,t165,t126,0,0.961618,0
90,t165,t126,0,0.961618,0
100,t165,t126,0,0.961618,0
110,t165,t126,0,0.961618,0
120,t165,t126,0,0.961618,0
130,t165,t126,0,0.961618,0
140,t165,t126,0,0.961618,0
140,t165,t195,2.58839,0.525788,-0.329101
150,t165,t126,0,0.961618,0
150,t165,t195,2.58839,0.525788,-0.329101
160,t165,t126,0,0.961618,0
160,t165,t195,2.56519,0.525788,-0.329101
170,t165,t126,0,0.961618,0
170,t165,t195,2.47814,0.525788,-0.329101
180,t165,t126,0,0.961618,0
180,t165,t195,2.52288,0.525788,-0.329101
190,t165,t126,0,1.41928,0
190,t165,t195,2.52288,0.525788,-0.329101
200,t165,t126,0,1.41928,0
200,t165,t195,2.52288,0.525788,-0.329101
210,t165,t126,0,1.45971,0
210,t165,t195,2.42673,0.525788,-0.329101
220,t165,t126,0,1.45971,1.0492
220,t165,t195,2.42673,0.525788,-0.329101
220,t20,NA,2.59622,28.0729,-0.368733
230,t165,t126,0,1.45971,1.0492
230,t165,t195,2.42673,0.525788,-0.329101
230,t20,NA,2.59622,28.0729,-0.368733
240,t165,t126,0,1.45971,1.0492
240,t165,t195,2.36509,0.525788,-0.329101
240,t20,NA,2.59622,28.0729,-0.368733
250,t165,t126,0,1.45971,1.0492
250,t165,t195,2.36509,0.525788,-0.329101
250,t20,NA,2.66933,28.0729,-0.368733
260,t165,t126,0,1.45971,1.0492
260,t165,t195,2.36509,0.525788,-0.329101
260,t20,NA,2.66933,28.0729,-0.368733
270,t165,t126,0,1.45971,1.0492
270,t165,t195,2.36509,0.525788,-0.329101
270,t20,NA,2.66933,28.0729,-0.368733
280,t165,t126,0,1.4482,1.0492
280,t165,t195,2.36509,0.525788,-0.329101
280,t20,NA,2.66933,28.0729,-0.368733
290,t165,t126,0,1.4482,0.724614
290,t165,t195,2.29574,0.525788,-0.329101
290,t20,NA,2.66933,28.0729,-0.368733
300,t165,t126,0,1.4482,0.484256
300,t165,t195,2.29574,0.525788,-0.329101
300,t20,NA,2.66933,17.3513,-0.368733
310,t165,t126,0,1.4482,0.484256
310,t165,t195,2.29574,0.525788,-0.329101
310,t20,NA,2.57795,17.3513,-0.368733
320,t165,t126,0,1.4482,0.484256
320,t165,t195,2.23321,0.712264,-0.329101
320,t20,NA,2.57795,17.3513,-0.368733
330,t165,t126,0,1.4482,0.484256
330,t165,t195,2.1952,0.603032,-0.329101
330,t20,NA,2.57795,17.3513,-0.368733
340,t165,t126,0,1.4482,0.484256
340,t165,t195,2.1952,0.603032,-0.329101
340,t49,t72,1.67929,8.64367,0.118075
340,t20,NA,2.57795,17.3513,-0.368733
350,t165,t126,0,1.4482,0.484256
350,t165,t195,2.1952,0.603032,-0.329101
350,t49,t72,1.67929,6.71907,0.118075
350,t20,NA,2.57795,17.3513,-0.368733
360,t165,t126,0,1.4482,0.484256
360,t165,t195,2.1952,0.603032,-0.329101
360,t49,t72,1.67929,6.71907,0.118075
370,t165,t126,0,1.4482,0.484256
370,t165,t195,2.1952,0.603032,-0.329101
380,t165,t126,0,1.4482,0.484256
380,t165,t195,2.1952,0.603032,-0.329101
390,t165,t126,0,1.4482,0.484256
390,t165,t195,2.1952,0.603032,-0.329101
400,t165,t126,0,1.4482,0.484256
400,t165,t195,2.1952,0.768594,-0.329101
400,t110,NA,3.77627,11.6572,-0.237579
410,t165,t126,0,1.4482,0.807173
410,t165,t195,2.23231,0.768594,-0.329101
410,t110,NA,3.77627,11.6572,-0.237579
420,t165,t126,0,1.4482,0.807173
420,t165,t195,2.23231,0.768594,-0.329101
420,t110,NA,3.77627,11.6572,-0.237579
430,t165,t126,0,1.4482,0.807173
430,t165,t195,2.23231,0.768594,-0.329101
430,t110,NA,3.77627,7.44456,-0.237579
440,t165,t126,0,1.4482,0.807173
440,t165,t195,2.23231,0.768594,-0.329101
440,t110,NA,3.77627,7.44456,-0.237579
450,t165,t126,0,1.4482,0.807173
450,t165,t195,2.20548,0.768594,-0.329101
450,t110,NA,3.77627,7.44456,-0.237579
460,t165,t126,0,1.4482,0.807173
460,t165,t195,2.12847,0.768594,-0.329101
460,t110,NA,3.77627,7.44456,-0.237579
470,t165,t126,0,1.4482,0.807173
470,t165,t195,2.08985,0.768594,-0.329101
470,t110,NA,3.77627,7.44456,-0.237579
480,t165,t126,0,1.4482,0.807173
480,t165,t195,2.08985,0.768594,-0.329101
480,t110,NA,3.77627,7.44456,-0.237579
490,t165,t126,0,1.4482,0.807173
490,t165,t195,2.08985,0.768594,-0.329101
490,t110,NA,3.77627,7.44456,-0.237579
500,t165,t126,0,1.4482,0.807173
500,t165,t195,2.08985,0.768594,-0.329101
500,t110,NA,3.71327,7.44456,-0.237579
510,t165,t126,0,1.4482,0.807173
510,t165,t195,2.08985,0.768594,-0.329101
510,t110,NA,3.71327,7.44456,-0.237579
520,t165,t126,0,1.4482,0.807173
520,t165,t195,2.08985,0.768594,-0.329101
530,t165,t126,0,1.4482,0.807173
530,t165,t195,2.1071,0.656798,-0.329101
540,t165,t126,0,1.4482,0.807173
540,t165,t195,2.1071,0.656798,-0.329101
550,t165,t126,0,1.4482,0.807173
550,t165,t195,2.1071,0.771629,-0.329101
560,t165,t126,0,1.4482,0.807173
560,t165,t195,2.1071,0.771629,-0.329101
570,t165,t126,0,1.4482,0.807173
570,t165,t195,2.1071,0.771629,-0.329101
580,t165,t126,0,1.4482,0.807173
580,t165,t195,2.1071,0.771629,-0.329101
590,t165,t126,0,1.4482,0.807173
590,t165,t195,2.1071,0.771629,-0.329101
600,t165,t126,0,1.4482,0.807173
600,t165,t195,2.1071,0.771629,-0.329101
610,t165,t126,0,1.4482,0.807173
610,t165,t195,2.1071,0.771629,-0.329101
620,t165,t126,0,1.4482,0.807173
620,t165,t195,2.1071,0.771629,-0.329101
630,t165,t126,0,1.4482,0.807173
630,t165,t195,2.12584,0.771629,-0.329101
640,t165,t126,0,1.4482,0.807173
640,t165,t195,2.12584,0.771629,-0.329101
650,t165,t126,0,1.4482,0.807173
650,t165,t195,2.12854,0.771629,-0.329101
660,t165,t126,0,1.4482,0.807173
660,t165,t195,2.12854,0.771629,-0.329101
670,t165,t126,0,1.4482,0.807173
670,t165,t195,2.12854,1.18106,-0.329101
680,t165,t126,0,1.4482,0.807173
680,t165,t195,2.12458,1.18106,-0.329101
690,t165,t126,0,1.4482,0.807173
690,t165,t195,2.03865,1.18106,-0.329101
700,t165,t126,0,1.4482,1.12201
700,t165,t195,2.03865,1.18106,-0.329101
710,t165,t126,0,1.4482,1.12201
710,t165,t195,2.03865,1.18106,-0.329101
720,t165,t126,0,1.4482,1.12201
720,t165,t195,2.0453,1.18106,-0.329101
730,t165,t126,0,1.4482,1.12201
730,t165,t195,2.0453,1.18106,-0.329101
740,t165,t126,0,1.4482,1.12201
740,t165,t195,2.0453,1.2596,-0.329101
750,t165,t126,0,1.4482,1.12201
750,t165,t195,2.0453,1.2596,-0.329101
760,t165,t126,0,1.4482,1.12201
760,t165,t195,2.0453,1.2596,-0.329101
770,t165,t126,0,1.4482,1.12201
770,t165,t195,2.0453,1.2596,-0.329101
780,t165,t126,0,1.4482,1.12201
780,t165,t195,2.0453,1.2596,-0.329101
790,t165,t126,0,1.4482,1.12201
790,t165,t195,2.0453,1.2596,-0.329101
800,t165,t126,0,1.4482,1.12201
800,t165,t195,2.0453,1.2596,-0.329101
810,t165,t126,0,1.4482,0.906304
810,t165,t195,2.0453,1.2596,-0.329101
820,t165,t126,0,1.4482,0.906304
820,t165,t195,1.98852,1.2596,-0.329101
820,t190,t80,2.28043,10.2537,-0.332195
830,t165,t126,0,1.4482,0.906304
830,t165,t195,1.98852,1.2596,-0.329101
830,t190,t80,2.28043,10.2537,-0.332195
840,t165,t126,0,1.4482,0.906304
840,t165,t195,1.98852,1.2596,-0.329101
840,t190,t80,2.28043,10.2537,-0.332195
850,t165,t126,0,1.4482,0.906304
850,t165,t195,1.98852,1.92001,-0.329101
850,t190,t80,2.28043,10.2537,-0.332195
860,t165,t126,0,1.4482,0.906304
860,t165,t195,1.98852,1.92001,-0.329101
860,t190,t80,2.28043,10.2537,-0.332195
870,t165,t126,0,1.4482,0.906304
870,t165,t195,1.92954,1.92001,-0.329101
870,t190,t80,2.22944,10.2537,-0.332195
880,t165,t126,0,1.4482,0.906304
880,t165,t195,1.92954,2.41668,-0.329101
880,t190,t80,2.22944,10.2537,-0.332195
890,t165,t126,0,1.4482,0.906304
890,t190,t80,2.22944,10.2537,-0.332195
900,t165,t126,0,1.4482,0.377916
900,t190,t80,2.22944,7.9218,-0.332195
910,t165,t126,0,1.4482,0.377916
910,t190,t80,2.22944,8.44685,-0.332195
920,t165,t126,0,1.4482,0.377916
920,t190,t80,2.21052,12.8994,-0.332195
930,t165,t126,0,1.4482,0.377916
930,t190,t80,2.30581,12.8994,-0.332195
940,t165,t126,0,1.4482,0.377916
940,t190,t80,2.30581,12.8994,-0.332195
950,t165,t126,0,1.4482,0.377916
950,t190,t80,2.30581,12.8994,-0.332195
960,t165,t126,0,1.4482,0.377916
960,t190,t80,2.33248,12.8994,-0.332195
970,t165,t126,0,1.4482,0.377916
