generation,leftchild,rightchild,abstime,betainit,betashift
0,t53,t47,0,0.5,0
10,t53,t47,0,0.5,0
20,t53,t47,0,0.5,0
30,t53,t47,0,0.5,0
30,t58,NA,5.83125,2.02641,-0.0113682
40,t53,t47,0,0.5,0
40,t58,NA,5.83125,2.02641,-0.0113682
50,t53,t47,0,0.5,0
50,t58,NA,5.83125,2.02641,-0.0113682
60,t53,t47,0,0.5,0
60,t58,NA,5.83125,2.02641,-0.0113682
70,t53,t47,0,0.5,0
70,t58,NA,5.83125,2.87855,-0.0113682
80,t53,t47,0,0.5,0
80,t58,NA,5.83125,2.87855,-0.0113682
90,t53,t47,0,0.5,0
100,t53,t47,0,0.5,1.67149
110,t53,t47,0,0.649137,1.67149
120,t53,t47,0,0.649137,1.67149
130,t53,t47,0,0.649137,1.67149
140,t53,t47,0,0.649137,1.67149
150,t53,t47,0,0.649137,1.67149
160,t53,t47,0,0.840284,1.67149
170,t53,t47,0,0.840284,1.67149
180,t53,t47,0,0.840284,1.67149
190,t53,t47,0,0.840284,1.67149
200,t53,t47,0,0.840284,1.67149
210,t53,t47,0,0.840284,1.67149
220,t53,t47,0,0.840284,1.67149
230,t53,t47,0,1.28008,1.67149
240,t53,t47,0,1.3271,1.67149
250,t53,t47,0,1.57715,1.67149
260,t53,t47,0,2.03065,1.67149
270,t53,t47,0,2.03065,1.67149
280,t53,t47,0,2.03065,1.67149
290,t53,t47,0,2.03065,1.67149
300,t53,t47,0,2.03065,1.67149
310,t53,t47,0,2.76456,1.67149
320,t53,t47,0,2.76456,1.67149
330,t53,t47,0,2.76456,1.67149
340,t53,t47,0,2.76456,1.67149
350,t53,t47,0,2.76456,1.67149
360,t53,t47,0,2.76456,1.44909
370,t53,t47,0,2.76456,1.44909
380,t53,t47,0,2.76456,1.44909
390,t53,t47,0,3.0986,1.44909
400,t53,t47,0,3.0986,1.44909
410,t53,t47,0,3.0986,1.27889
420,t53,t47,0,3.0986,1.27889
430,t53,t47,0,3.0986,1.27889
440,t53,t47,0,3.0986,1.27889
450,t53,t47,0,3.0986,1.27889
460,t53,t47,0,3.0986,1.27889
470,t53,t47,0,3.0986,1.27889
480,t53,t47,0,3.0986,1.27889
490,t53,t47,0,3.0986,1.39761
500,t53,t47,0,3.0986,1.39761
510,t53,t47,0,3.80784,1.39761
510,t7,t48,5.70384,0.55303,0.132933
520,t53,t47,0,3.80784,1.39761
520,t7,t48,5.67293,0.55303,0.132933
530,t53,t47,0,8.80523,1.39761
530,t7,t48,5.67293,0.55303,0.132933
540,t53,t47,0,8.80523,1.39761
540,t7,t48,5.67293,0.55303,0.132933
550,t53,t47,0,8.80523,1.39761
550,t7,t48,5.67293,0.55303,0.132933
560,t53,t47,0,8.80523,1.39761
560,t7,t48,5.78475,0.55303,0.132933
570,t53,t47,0,8.80523,0.861967
570,t7,t48,5.78475,0.55303,0.132933
580,t53,t47,0,8.80523,0.861967
580,t7,t48,5.78475,0.55303,0.132933
590,t53,t47,0,8.80523,0.906278
590,t150,t58,4.90971,3.26871,-0.216427
590,t7,t48,5.69891,0.55303,0.132933
600,t53,t47,0,8.80523,0.906278
600,t150,t58,4.90971,3.26871,-0.216427
600,t7,t48,5.69891,0.55303,0.132933
610,t53,t47,0,8.80523,0.906278
610,t52,t150,4.82305,3.26871,-0.216427
610,t7,t48,5.69891,0.55303,0.132933
620,t53,t47,0,11.1509,0.906278
620,t52,t150,4.82305,3.26871,-0.216427
620,t7,t48,5.69891,0.55303,0.132933
630,t53,t47,0,11.1509,0.906278
630,t52,t150,4.82305,3.26871,-0.216427
