R UCI.95
NA NA
1.51130526978509 5.40892436966194
1.0697530170794 1.26337784816
1.02112738667772 1.04044898553731
1.05934966281348 1.24778817996805
1.0128887013388 1.07575585519056
0.996588357974317 1.00963601977862
1.19577262831898 1.65200169321612
1.17224426325077 1.51145926455762
1.15651771533553 1.42159287529084
1.2050751899893 1.69740323736088
1.13857134385674 1.23887620447887
1.03315087389639 1.10152774794625
1.07016935054571 1.28872951166806
1.36755738536074 2.39837086675286
1.61273548936331 3.69582324615362
1.61590855909058 4.35512705844683
1.65415631013339 3.9144351225712
1.68215320399401 3.97612357527351
1.64604864060277 3.77724364432103
1.61678111269333 3.56301169097815
1.57980620936715 3.26912049876619
1.54629485223464 3.10717010476847
1.45952974713629 2.81169063572544
1.39776477247287 2.60017669606456
1.36810649660825 2.48633479985051
1.31504519667755 2.26442981588977
1.25442628868325 2.00005899487576
1.22955222722834 1.88239419121047
1.16848529592986 1.56604408010342
1.15915130522801 1.5037448767306
1.14791034930536 1.41310526688728
1.05321059163089 1.12973959330196
1.00443083171352 1.02604290246785
1.00348973703083 1.01007191669762
1.00055207218291 1.00823700254069
1.01133409884257 1.05627806173066
1.05880513623052 1.18637118271884
1.05862995319376 1.18178887203777
1.13653410997098 1.42849076954579
1.1294223992671 1.4183194469141
1.12415448323085 1.37382963468959
1.13335355717821 1.41538491666889
1.12700469962926 1.38176962107506
1.12862211420837 1.38252999931646
1.12974221445414 1.38950533285929
1.13418139640391 1.42622662352003
1.1520448565172 1.5150679589281
1.16804494525335 1.58810411638237
1.17897288296143 1.63663195922073
