R UCI.95
NA NA
2.401567299471 7.1722728695641
1.20455985923248 1.85469647210439
1.74071303253841 5.49338243061064
1.28913750526948 2.24632387208575
1.08986820518522 1.30987926329246
1.06741883317914 1.17496168448477
1.37533742178762 2.38741193272706
1.59434198022786 3.19905132038545
1.54510918836863 3.03247134627746
1.56933731571177 3.05352016045141
1.33407801150633 2.30909892364046
1.37793024605706 2.4619588892493
1.38384388851399 2.49136639309575
1.20847821249407 1.75387593039148
1.1318473675198 1.47765681471868
1.04427356431201 1.1834970883019
1.00976977479222 1.04249232274474
0.99997633032282 1.00207880622536
1.00674433258011 1.0260769340016
1.0136699980483 1.03696222942449
1.06032068611308 1.06720703150602
1.24434435002843 1.85767665146975
1.25899762490113 2.08710622809454
1.27247549340791 2.22894397533246
1.29919340462396 2.47703152245796
1.308161857714 2.55820624435866
1.29811991999296 2.46810506041909
1.31683858340384 2.61042080607975
1.29710620458241 2.43101531944896
1.22362458637496 1.85419306452322
1.14886324552551 1.46693055815534
1.00953709351696 1.03519381076677
1.00051780047673 1.00360572157978
1.00127095059131 1.00127131903174
1.00320169207891 1.00578545946711
1.00377427032476 1.00710092221855
1.0034969364909 1.00619723639505
1.0026104314274 1.00344877001142
1.00279200032319 1.00373072430896
1.0028580183664 1.00377150341792
1.00259486617395 1.00287143515131
0.999597591697134 1.00089059385234
1.03769711748053 1.07169725832971
1.05821643776042 1.12094421574003
1.0904316945591 1.20064619459662
1.1230589884094 1.29685025155262
1.16330791404877 1.46480006180668
1.15922091078608 1.41505850395281
1.16312253873221 1.42297788801732
