R UCI.95
NA NA
1.32456557378575 2.9451081242512
1.71550117033815 4.05065129078719
1.71201096661359 4.64525731036238
2.55423112595262 8.13151132968075
2.79358051670969 9.87920539255624
2.33066735249018 7.38061280133866
1.96665169219815 6.27273220960537
1.7094730106252 3.74673457961584
1.72732385873476 3.59878838879657
1.50532158115253 2.85104268763164
1.19914615402986 1.6785030177455
1.13144397132965 1.48193925931563
1.06518871029495 1.26441518190751
1.05089265193385 1.20530237762788
1.02495405227232 1.09637504939899
1.00099346113766 1.01474589892119
1.02713188709943 1.03035594038033
1.07168505097663 1.1295868960655
1.07306861976298 1.15960740732248
1.08594096404393 1.19912689794561
1.03790081512495 1.05329423329205
1.0041450458956 1.02894375615183
1.09586910528992 1.12462886278587
1.0410344941015 1.04535801754486
1.03617476822879 1.04162531464581
1.0346112694734 1.03838824580679
1.03327769051534 1.03415056130608
1.03480856682105 1.03544244259524
1.03546365801505 1.04471061857541
1.06887058762546 1.14217584508771
1.072746859449 1.15639053062342
1.07658937785891 1.19841698666442
1.07083870923352 1.18112230643247
1.06933551950421 1.1797357938146
1.06222475355201 1.15596447947624
1.07127824582047 1.20159332258024
1.08305569104867 1.26035069869036
1.15267406006304 1.52289664590688
1.15342999805283 1.52795637333342
1.14267308392113 1.47762396396387
1.15411634257489 1.52157140178153
1.16771685164225 1.58190291074907
1.19988939356577 1.73156239596547
1.20000091720557 1.73133975614969
1.16138857256543 1.55787427418609
1.15167498844382 1.51816390765282
1.18927847285955 1.6800446974172
1.22689345620571 1.86626464661077
1.22240793279883 1.84490518963524
