Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
341	0.240469	366	0.068306	25	0.480000	268	0.264925	11.042402	163	0.239264	1.623440	178	0.241573	42.675184	268	0.264925	0.190000	0.267775	
368	0.323370	339	0.070796	28	0.535714	265	0.264151	11.042402	178	0.365169	1.623440	190	0.284211	42.675184	265	0.264151	0.228000	0.266995	
350	0.271429	356	0.061798	30	0.600000	264	0.333333	11.042402	167	0.299401	1.623440	183	0.245902	42.675184	264	0.333333	0.223000	0.266149	
336	0.336310	355	0.098592	40	0.625000	269	0.312268	11.042402	169	0.343195	1.623440	167	0.329341	42.675184	269	0.312268	0.257000	0.265976	
321	0.302181	381	0.041995	28	0.535714	270	0.248148	11.042402	161	0.298137	1.623440	160	0.306250	42.675184	270	0.248148	0.195000	0.264662	
344	0.244186	343	0.029155	36	0.694444	277	0.379061	11.042402	165	0.278788	1.623440	179	0.212291	42.675184	277	0.379061	0.224000	0.263922	
367	0.307902	329	0.039514	39	0.589744	265	0.286792	11.042402	164	0.268293	1.623440	203	0.339901	42.675184	265	0.286792	0.225000	0.263227	
304	0.286184	356	0.030899	35	0.628571	305	0.281967	11.042402	145	0.303448	1.623440	159	0.270440	42.675184	305	0.281967	0.206000	0.262223	
315	0.307937	361	0.085873	41	0.609756	283	0.314488	11.042402	154	0.331169	1.623440	161	0.285714	42.675184	283	0.314488	0.242000	0.261875	
363	0.247934	335	0.059701	35	0.457143	267	0.265918	11.042402	188	0.292553	1.623440	175	0.200000	42.675184	267	0.265918	0.197000	0.260775	
