Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
353	0.297450	326	0.052147	38	0.500000	283	0.293286	10.836062	177	0.282486	1.449697	176	0.312500	42.495927	283	0.293286	0.224000	0.261315	
318	0.242138	354	0.081921	20	0.650000	308	0.305195	10.836062	149	0.234899	1.449697	169	0.248521	42.495927	308	0.305195	0.213000	0.260367	
338	0.340237	336	0.062500	25	0.440000	301	0.282392	10.836062	163	0.361963	1.449697	175	0.320000	42.495927	301	0.282392	0.232000	0.259822	
323	0.318885	366	0.054645	35	0.714286	276	0.307971	10.836062	143	0.300699	1.449697	180	0.333333	42.495927	276	0.307971	0.233000	0.259316	
352	0.332386	331	0.072508	39	0.538462	278	0.262590	10.836062	166	0.331325	1.449697	186	0.333333	42.495927	278	0.262590	0.235000	0.258866	
370	0.310811	333	0.057057	41	0.585366	256	0.273438	10.836062	184	0.309783	1.449697	186	0.311828	42.495927	256	0.273438	0.228000	0.258304	
332	0.277108	355	0.061972	34	0.411765	279	0.290323	10.836062	168	0.273810	1.449697	164	0.280488	42.495927	279	0.290323	0.209000	0.257424	
349	0.280802	342	0.046784	38	0.184211	271	0.295203	10.836062	184	0.282609	1.449697	165	0.278788	42.495927	271	0.295203	0.201000	0.256434	
370	0.332432	349	0.057307	29	0.413793	252	0.349206	10.836062	184	0.380435	1.449697	186	0.284946	42.495927	252	0.349206	0.243000	0.256202	
356	0.272472	336	0.062500	40	0.450000	268	0.328358	10.836062	187	0.299465	1.449697	169	0.242604	42.495927	268	0.328358	0.224000	0.255657	
364	0.335165	318	0.050314	24	0.666667	294	0.326531	10.836062	194	0.360825	1.449697	170	0.305882	42.495927	294	0.326531	0.250000	0.255562	
351	0.301994	360	0.061111	27	0.407407	262	0.263359	10.836062	202	0.321782	1.449697	149	0.275168	42.495927	262	0.263359	0.208000	0.254783	
359	0.303621	346	0.063584	38	0.394737	257	0.245136	10.836062	190	0.310526	1.449697	169	0.295858	42.495927	257	0.245136	0.209000	0.254044	
369	0.319783	315	0.050794	37	0.513514	279	0.304659	10.836062	187	0.299465	1.449697	182	0.340659	42.495927	279	0.304659	0.238000	0.253790	
359	0.342618	363	0.033058	27	0.555556	251	0.306773	10.836062	176	0.335227	1.449697	183	0.349727	42.495927	251	0.306773	0.227000	0.253371	
361	0.362881	343	0.043732	42	0.523810	254	0.338583	10.836062	184	0.358696	1.449697	177	0.367232	42.495927	254	0.338583	0.254000	0.253381	
397	0.319899	334	0.056886	23	0.565217	246	0.345528	10.836062	210	0.300000	1.449697	187	0.342246	42.495927	246	0.345528	0.244000	0.253239	
327	0.281346	360	0.058333	31	0.516129	282	0.308511	10.836062	176	0.301136	1.449697	151	0.258278	42.495927	282	0.308511	0.216000	0.252683	
341	0.310850	334	0.068862	45	0.711111	280	0.310714	10.836062	182	0.335165	1.449697	159	0.283019	42.495927	280	0.310714	0.248000	0.252614	
332	0.334337	349	0.071633	36	0.694444	283	0.219081	10.836062	173	0.364162	1.449697	159	0.301887	42.495927	283	0.219081	0.223000	0.252185	
341	0.281525	353	0.070822	33	0.575758	273	0.285714	10.836062	173	0.254335	1.449697	168	0.309524	42.495927	273	0.285714	0.218000	0.251696	
